2.90638,-5.7899,0.754748,1.12927,781.116
-5.34914,3.48334,0.876551,0.449858,774.729
6.96038,8.80323,0.642845,0.91647,793.501
-1.06484,-3.37614,0.854413,0.812373,799.174
5.73161,-9.9623,0.99327,0.511464,767.053
4.87528,-8.27704,0.526494,0.825389,728.228
-3.78905,-15.3115,0.199338,1.50968,793.311
1.24247,8.98165,0.819633,0.646098,794.7
1.37087,-8.62816,0.868965,0.530933,755.91
12.0144,-0.768928,0.807737,2.23645,741.802
-4.11594,-0.455318,0.877336,0.552571,753.228
8.52061,-6.76545,0.702057,0.401393,731.031
-7.80182,2.12174,0.426362,0.556201,760.834
-2.48331,5.76034,0.526829,0.950761,778.296
11.2111,-4.0464,0.823382,0.56897,779.332
2.9405,-14.6659,0.771567,0.506756,808.404
-16.5229,11.8545,0.830011,0.574297,773.818
-16.7274,-7.03972,0.830639,3.76764,797.592
-2.53056,-8.65093,0.711493,0.722627,764.657
-12.8163,6.09493,0.937556,0.736231,765.487
5.45462,-10.2643,0.833619,0.585796,787.905
-8.20248,-7.53065,0.890928,0.570374,766.29
-12.5505,-11.1427,0.600573,0.938299,744.953
14.0982,8.87324,0.892259,0.798325,809.113
16.7053,-5.81823,0.924693,0.868106,767.103
-4.3526,-1.75054,0.471822,0.96708,797.248
3.96793,9.38487,0.697966,0.577354,765.814
6.64582,8.64218,0.836898,0.256536,741.695
0.765812,-1.20344,0.672531,1.59123,735.15
-2.79411,2.81429,0.937276,0.3266,806.598
0.148387,13.7104,0.894636,0.379525,800.605
-0.161407,19.9816,0.6144,0.666439,789.852
11.5947,9.60348,0.358992,0.839145,822.517
11.319,-8.64424,0.670662,0.65485,788.578
-3.68535,7.18067,0.559447,0.423876,738.638
-4.02561,-0.378848,0.448239,0.889006,781.649
1.96755,11.2675,0.750294,0.454379,783.906
4.11115,2.70832,0.949896,1.68928,777.912
-0.815585,1.04773,0.447864,1.30679,733.941
-12.7314,-14.0859,0.640018,0.954273,794.821
-6.7037,1.73137,0.734556,0.875944,788.706
10.4873,-7.53203,0.435084,0.987537,791.504
12.2797,-4.95995,0.52807,0.908895,800.979
-6.41819,-14.0767,0.598913,1.96876,714.648
7.74817,16.3594,0.458507,1.06489,760.769
